District,Total Votes,Margin of Victory
Indiana's 8th Congressional District,"95,691",37.10%
Indiana's 9th Congressional District,"124,826",26.12%
Iowa's 1st Congressional District,"201,347",2.60%
Iowa's 2nd Congressional District,"196,958",0.00%
Iowa's 3rd Congressional District,"212,997",1.39%
Iowa's 4th Congressional District,"144,761",24.18%
Kansas' 1st Congressional District,"84,393",42.32%
Kansas' 2nd Congressional District,"136,650",14.51%
Kansas' 3rd Congressional District,"178,773",10.06%
Kansas' 4th Congressional District,"116,166",27.30%
Kentucky's 1st Congressional District,"82,141",49.99%
Kentucky's 2nd Congressional District,"94,643",44.70%
Kentucky's 3rd Congressional District,"137,425",25.33%
Kentucky's 4th Congressional District,"125,896",34.17%
Kentucky's 5th Congressional District,"47,056",68.42%
Kentucky's 6th Congressional District,"155,011",16.37%
Louisiana's 1st Congressional District,"94,730",46.91%
Louisiana's 2nd Congressional District,"47,575",48.60%
Louisiana's 3rd Congressional District,"60,852",49.87%
Louisiana's 4th Congressional District,"78,157",34.94%
Louisiana's 5th Congressional District,"30,124",24.03%
Louisiana's 6th Congressional District,"95,541",45.50%
Maine's 1st Congressional District,"165,008",24.31%
Maine's 2nd Congressional District,"175,228",6.09%
Maryland's 1st Congressional District,"143,877",27.06%
Maryland's 2nd Congressional District,"106,355",35.68%
Maryland's 3rd Congressional District,"112,117",39.72%
Maryland's 4th Congressional District,"71,671",59.36%
Maryland's 5th Congressional District,"123,525",37.78%
Maryland's 6th Congressional District,"143,599",19.63%
Maryland's 7th Congressional District,"92,825",43.58%
Maryland's 8th Congressional District,"127,157",36.65%
Massachusetts' 1st Congressional District,"1,274",96.06%
Massachusetts' 2nd Congressional District,"132,220",30.76%
Massachusetts' 3rd Congressional District,,--
Massachusetts' 4th Congressional District,"160,474",21.95%
Massachusetts' 5th Congressional District,"101,351",48.73%
Massachusetts' 6th Congressional District,"150,695",31.00%
Massachusetts' 7th Congressional District,"38,675",74.09%
Massachusetts' 8th Congressional District,"72,060",61.98%
Massachusetts' 9th Congressional District,"154,261",24.96%
Michigan's 1st Congressional District,"153,328",24.81%
Michigan's 10th Congressional District,"138,179",32.56%
Michigan's 11th Congressional District,"215,405",2.38%
Michigan's 12th Congressional District,"117,719",35.76%
Michigan's 13th Congressional District,"53,311",59.43%
Michigan's 14th Congressional District,"62,664",60.97%
Michigan's 2nd Congressional District,"154,122",20.98%
Michigan's 3rd Congressional District,"189,769",5.92%
Michigan's 4th Congressional District,"120,802",32.64%
Michigan's 5th Congressional District,"150,772",12.69%
Michigan's 6th Congressional District,"152,085",15.68%
Michigan's 7th Congressional District,"159,743",17.50%
Michigan's 8th Congressional District,"202,525",3.59%
Michigan's 9th Congressional District,"153,296",19.30%
Minnesota's 1st Congressional District,"167,890",3.08%
Minnesota's 2nd Congressional District,"194,954",2.26%
Minnesota's 3rd Congressional District,"196,625",11.28%
Minnesota's 4th Congressional District,"112,730",34.20%
Minnesota's 5th Congressional District,"102,878",38.43%
Minnesota's 6th Congressional District,"140,853",31.54%
Minnesota's 7th Congressional District,"144,840",13.54%
Minnesota's 8th Congressional District,"147,853",19.20%
Mississippi's 1st Congressional District,"104,008",37.49%
Mississippi's 2nd Congressional District,"101,010",32.03%
Mississippi's 3rd Congressional District,"120,782",29.34%
Mississippi's 4th Congressional District,,--
Missouri's 1st Congressional District,"59,940",59.82%
Missouri's 2nd Congressional District,"204,540",6.37%
Missouri's 3rd Congressional District,"116,095",40.94%
Missouri's 4th Congressional District,"107,635",37.93%
Missouri's 5th Congressional District,"135,934",20.22%
Missouri's 6th Congressional District,"118,926",36.23%
Missouri's 7th Congressional District,"98,111",42.30%
Missouri's 8th Congressional District,"70,561",55.49%
Montana's At-Large Congressional District,"262,340",12.77%
Nebraska's 1st Congressional District,"119,622",21.85%
Nebraska's 2nd Congressional District,"155,706",4.56%
Nebraska's 3rd Congressional District,"50,690",60.84%
Nevada's 1st Congressional District,"74,490",28.39%
Nevada's 2nd Congressional District,"155,780",15.76%
Nevada's 3rd Congressional District,"190,975",2.98%
Nevada's 4th Congressional District,"152,284",4.86%
New Hampshire's 1st Congressional District,"185,159",5.10%
New Hampshire's 2nd Congressional District,"168,886",10.20%
New Jersey's 1st Congressional District,"144,463",24.96%
New Jersey's 10th Congressional District,"40,298",69.39%
New Jersey's 11th Congressional District,"206,013",6.61%
New Jersey's 12th Congressional District,"114,591",33.06%
New Jersey's 2nd Congressional District,"173,849",5.76%
New Jersey's 3rd Congressional District,"196,327",7.76%
New Jersey's 4th Congressional District,"162,420",21.60%
New Jersey's 5th Congressional District,"193,333",7.52%
New Jersey's 6th Congressional District,"126,760",22.33%
New Jersey's 7th Congressional District,"214,318",1.22%
New Jersey's 8th Congressional District,"58,686",49.45%
New Jersey's 9th Congressional District,"98,629",33.94%
New Mexico's 1st Congressional District,"134,337",16.38%
New Mexico's 2nd Congressional District,"122,546",7.45%
New Mexico's 3rd Congressional District,"131,166",17.36%
New York's 1st Congressional District,"157,484",11.83%
New York's 10th Congressional District,"66,889",50.34%
New York's 11th Congressional District,"137,198",6.28%
New York's 12th Congressional District,"53,061",65.66%
New York's 13th Congressional District,"19,829",83.02%
New York's 14th Congressional District,"58,440",44.17%
New York's 15th Congressional District,"21,221",77.64%
New York's 16th Congressional District,"41,085",68.23%
New York's 17th Congressional District,"117,307",24.05%
New York's 18th Congressional District,"145,098",12.54%
New York's 19th Congressional District,"151,475",11.52%
New York's 2nd Congressional District,"154,123",6.93%
New York's 20th Congressional District,"139,446",22.33%
New York's 21st Congressional District,"131,992",17.66%
New York's 22nd Congressional District,"155,989",0.00%
New York's 23rd Congressional District,"129,014",16.58%
New York's 24th Congressional District,"147,638",10.16%
New York's 25th Congressional District,"136,198",20.17%
New York's 26th Congressional District,"91,687",41.14%
New York's 27th Congressional District,"149,559",20.72%
New York's 3rd Congressional District,"161,907",12.48%
New York's 4th Congressional District,"153,007",13.14%
New York's 5th Congressional District,,--
New York's 6th Congressional District,"74,829",35.92%
New York's 7th Congressional District,"32,520",70.33%
New York's 8th Congressional District,"42,007",69.61%
New York's 9th Congressional District,"43,950",67.19%
North Carolina's 1st Congressional District,"159,748",8.35%
North Carolina's 10th Congressional District,"128,189",37.82%
North Carolina's 11th Congressional District,"190,609",12.16%
North Carolina's 12th Congressional District,,--
North Carolina's 13th Congressional District,"124,684",36.36%
North Carolina's 2nd Congressional District,"172,544",28.13%
North Carolina's 3rd Congressional District,"132,752",26.77%
North Carolina's 4th Congressional District,"161,298",34.66%
North Carolina's 5th Congressional District,"119,846",35.82%
North Carolina's 6th Congressional District,"153,598",24.55%
North Carolina's 7th Congressional District,"179,045",20.65%
North Carolina's 8th Congressional District,"177,781",6.57%
North Carolina's 9th Congressional District,"179,463",11.18%
North Dakota's At-Large Congressional District,"97,970",41.41%
Ohio's 1st Congressional District,"172,022",7.15%
Ohio's 10th Congressional District,"151,976",16.71%
Ohio's 11th Congressional District,"60,323",60.11%
Ohio's 12th Congressional District,"182,847",13.47%
Ohio's 13th Congressional District,"148,648",7.55%
Ohio's 14th Congressional District,"158,586",20.20%
Ohio's 15th Congressional District,"140,183",26.85%
Ohio's 16th Congressional District,"144,071",26.38%
Ohio's 2nd Congressional District,"146,781",22.17%
Ohio's 3rd Congressional District,"93,569",41.69%
Ohio's 4th Congressional District,"101,897",38.54%
Ohio's 5th Congressional District,"120,962",36.00%
Ohio's 6th Congressional District,"85,661",48.83%
Ohio's 7th Congressional District,"102,271",38.32%
Ohio's 8th Congressional District,"110,766",37.94%
Ohio's 9th Congressional District,"111,385",26.16%
Oklahoma's 1st Congressional District,"109,641",31.02%
Oklahoma's 2nd Congressional District,"63,472",53.04%
Oklahoma's 3rd Congressional District,"66,501",56.98%
Oklahoma's 4th Congressional District,"90,459",39.01%
Oklahoma's 5th Congressional District,"145,658",4.12%
Oregon's 1st Congressional District,"161,928",29.39%
Oregon's 2nd Congressional District,"168,881",22.94%
Oregon's 3rd Congressional District,"110,570",49.52%
Oregon's 4th Congressional District,"216,081",5.32%
Oregon's 5th Congressional District,"204,372",6.70%
Pennsylvania's 1st Congressional District,"191,875",13.12%
Pennsylvania's 10th Congressional District,"182,938",6.62%
Pennsylvania's 11th Congressional District,"141,325",26.25%
Pennsylvania's 12th Congressional District,"99,199",41.69%
Pennsylvania's 13th Congressional District,"96,612",46.97%
Pennsylvania's 14th Congressional District,"131,895",29.39%
Pennsylvania's 15th Congressional District,"92,156",46.92%
Pennsylvania's 16th Congressional District,"143,962",18.68%
Pennsylvania's 17th Congressional District,"212,284",2.29%
Pennsylvania's 18th Congressional District,"118,163",38.50%
Pennsylvania's 2nd Congressional District,"75,022",45.07%
Pennsylvania's 3rd Congressional District,"33,671",82.06%
Pennsylvania's 4th Congressional District,"179,926",19.05%
Pennsylvania's 5th Congressional District,"139,552",29.39%
Pennsylvania's 6th Congressional District,"177,526",12.11%
Pennsylvania's 7th Congressional District,"181,407",3.73%
Pennsylvania's 8th Congressional District,"165,783",3.55%
Pennsylvania's 9th Congressional District,"118,266",32.66%
Rhode Island's 1st Congressional District,"35,457",54.99%
Rhode Island's 2nd Congressional District,"109,894",16.70%
South Carolina's 1st Congressional District,"210,627",1.27%
South Carolina's 2nd Congressional District,"155,118",13.07%
South Carolina's 3rd Congressional District,"95,712",42.52%
South Carolina's 4th Congressional District,"133,023",24.71%
South Carolina's 5th Congressional District,"145,979",20.21%
South Carolina's 6th Congressional District,"89,258",37.36%
South Carolina's 7th Congressional District,"138,863",23.66%
South Dakota's At-Large Congressional District,"75,748",61.91%
Tennessee's 1st Congressional District,"68,617",52.24%
Tennessee's 2nd Congressional District,"109,684",36.59%
Tennessee's 3rd Congressional District,"97,687",36.80%
Tennessee's 4th Congressional District,"111,908",33.33%
Tennessee's 5th Congressional District,13,99.99%
Tennessee's 6th Congressional District,"83,852",49.69%
Tennessee's 7th Congressional District,"95,839",42.59%
Tennessee's 8th Congressional District,"97,890",38.97%
Tennessee's 9th Congressional District,"48,818",57.27%
Texas' 1st Congressional District,"83,016",45.16%
Texas' 10th Congressional District,"187,686",7.13%
Texas' 11th Congressional District,"53,394",61.41%
Texas' 12th Congressional District,"121,250",30.68%
Texas' 13th Congressional District,"50,477",60.93%
Texas' 14th Congressional District,"118,574",23.28%
Texas' 15th Congressional District,"109,017",2.88%
Texas' 16th Congressional District,"84,006",29.44%
Texas' 17th Congressional District,"125,565",14.93%
Texas' 18th Congressional District,"58,033",49.79%
Texas' 19th Congressional District,"60,583",51.92%
Texas' 2nd Congressional District,"148,374",12.82%
Texas' 20th Congressional District,"89,628",31.56%
Texas' 21st Congressional District,"205,780",6.60%
Texas' 22nd Congressional District,"181,998",6.93%
Texas' 23rd Congressional District,"137,693",3.96%
Texas' 24th Congressional District,"163,326",1.33%
Texas' 25th Congressional District,"165,697",13.82%
Texas' 26th Congressional District,"161,099",23.33%
Texas' 27th Congressional District,"95,466",28.12%
Texas' 28th Congressional District,"91,925",19.32%
Texas' 29th Congressional District,"42,840",43.94%
Texas' 3rd Congressional District,"179,458",12.20%
Texas' 30th Congressional District,"48,685",59.08%
Texas' 31st Congressional District,"176,293",9.14%
Texas' 32nd Congressional District,"157,867",6.02%
Texas' 33rd Congressional District,"39,638",41.67%
Texas' 34th Congressional District,"84,119",13.59%
Texas' 35th Congressional District,"80,795",35.43%
Texas' 36th Congressional District,"73,418",49.35%
Texas' 4th Congressional District,"76,326",52.55%
Texas' 5th Congressional District,"100,743",26.07%
Texas' 6th Congressional District,"149,530",8.82%
Texas' 7th Congressional District,"149,054",3.33%
Texas' 8th Congressional District,"97,409",47.04%
Texas' 9th Congressional District,"49,575",53.85%
Utah's 1st Congressional District,"104,194",39.08%
Utah's 2nd Congressional District,"129,762",22.37%
Utah's 3rd Congressional District,"96,067",41.96%
Utah's 4th Congressional District,"175,923",1.00%
Vermont's At-Large Congressional District,"95,830",40.30%
Virginia's 1st Congressional District,"186,923",16.44%
Virginia's 10th Congressional District,"206,253",13.14%
Virginia's 11th Congressional District,"111,380",43.06%
Virginia's 2nd Congressional District,"165,031",5.75%
Virginia's 3rd Congressional District,"107,299",36.92%
Virginia's 4th Congressional District,"149,625",23.39%
Virginia's 5th Congressional District,"190,315",5.14%
Virginia's 6th Congressional District,"134,729",29.30%
Virginia's 7th Congressional District,"222,623",1.82%
Virginia's 8th Congressional District,"95,365",51.81%
Virginia's 9th Congressional District,,--
Washington's 1st Congressional District,"176,407",17.23%
Washington's 10th Congressional District,"121,040",13.78%
Washington's 2nd Congressional District,"148,384",26.41%
Washington's 3rd Congressional District,"181,347",12.98%
Washington's 4th Congressional District,"102,667",32.58%
Washington's 5th Congressional District,"155,737",22.77%
Washington's 6th Congressional District,"168,783",18.85%
Washington's 7th Congressional District,"78,240",66.22%
Washington's 8th Congressional District,"198,423",3.57%
Washington's 9th Congressional District,"89,697",48.44%
West Virginia's 1st Congressional District,"81,177",37.95%
West Virginia's 2nd Congressional District,"100,799",26.15%
West Virginia's 3rd Congressional District,"64,927",42.67%
Wisconsin's 1st Congressional District,"163,170",18.69%
Wisconsin's 2nd Congressional District,"138,306",39.42%
Wisconsin's 3rd Congressional District,"189,524",2.66%
Wisconsin's 4th Congressional District,"70,769",51.94%
Wisconsin's 5th Congressional District,"175,902",20.27%
Wisconsin's 6th Congressional District,"164,239",18.50%
Wisconsin's 7th Congressional District,"162,741",21.52%
Wisconsin's 8th Congressional District,"149,558",28.39%
Wyoming's At-Large Congressional District,"66,576",43.99%
